Orden,Preparación,Calidad,QQs Netos,Línea,Fecha,Turno,Analista,Operador,Hora,"% entrada
(Trillo)",Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Observaciones,Prom % de salida,Prom % de Pérdida,Vueltas Ponderadas
X Z 1/35,Popular,SPop A," 1,132.86 ",Línea 1,12/12/2020,Turno 1,Juan S.,Carlos,01:00 p. m.,9.50%,10.00,2.80,13.00,25.80,4.67%,8.00,1.00,10.00,19.00,3.00%,21.00,2.40,21.40,44.80,10.20%,,5%,49.42%,9.095949879
X Z 1/34,Popular,Popular B, 630.40 ,Línea 2,12/12/2020,Turno 1,Juan S.,Jose C.,10:30 p. m.,8.90%,6.00,0.00,4.00,10.00,1.33%,8.00,0.00,12.00,20.00,4.00%,42.00,0.40,36.00,78.40,11.40%,,3%,66.24%,13.2018025
X Z 1/34,Popular,Popular B, 630.40 ,Línea 2,12/12/2020,Turno 1,Juan S.,Jose C.,12:30 p. m.,12.00%,12.00,0.00,14.40,26.40,4.67%,6.00,0.00,11.00,17.00,3.67%,69.00,7.80,57.00,133.80,21.00%,,6%,49.56%,13.2018025
X Z 1/34,Popular,Popular B, 630.40 ,Línea 2,12/12/2020,Turno 1,Juan S.,Jose C.,10:30 p. m.,8.90%,6.00,0.00,4.00,10.00,1.33%,8.00,0.00,12.00,20.00,4.00%,42.00,0.40,36.00,78.40,11.40%,,3%,66.24%,13.2018025
X Z 1/34,Popular,Popular B, 630.40 ,Línea 2,12/12/2020,Turno 1,Juan S.,Jose C.,12:30 p. m.,12.00%,12.00,0.00,14.40,26.40,4.67%,6.00,0.00,11.00,17.00,3.67%,69.00,7.80,57.00,133.80,21.00%,,6%,49.56%,13.2018025
X Z 1/34,Popular,Popular B, 630.40 ,Línea 2,12/14/2020,Turno 1,Juan S.,Jose C.,07:00 a. m.,20.00%,10.00,0.40,12.20,22.60,2.07%,10.00,0.40,11.20,21.60,5.67%,22.00,2.80,29.00,53.80,16.60%,,4%,77.89%,13.2018025
X Z 1/39,Popular,Popular B," 1,218.53 ",Línea 2,12/14/2020,Turno 1,Oliver,Jose Reyes,09:00 a. m.,17.80%,10.00,1.60,16.20,27.80,4.00%,11.00,1.40,19.40,31.80,5.70%,22.00,3.00,38.00,63.00,14.90%,,6%,69.02%,11
X Z 1/39,Popular,Popular B," 1,218.53 ",Línea 2,12/14/2020,Turno 1,Oliver,Jose Reyes,11:00 a. m.,14.00%,7.00,0.60,14.00,21.60,3.20%,8.00,1.20,17.00,26.20,4.20%,19.00,1.40,31.40,51.80,12.80%,,4%,68.50%,11
X Z 1/39,Popular,Popular B," 1,218.53 ",Línea 2,12/14/2020,Turno 1,Oliver,Jose Reyes,01:00 a. m.,13.20%,13.00,0.40,13.60,27.00,4.20%,12.00,1.00,15.40,28.40,5.00%,14.00,1.40,28.00,43.40,10.90%,,5%,61.59%,11
X Z 1/36,Popular,SPop A, 228.82 ,Línea 1,12/14/2020,Turno 2,Selenio,Carlos,04:00 a. m.,9.00%,10.00,1.00,13.60,24.60,5.00%,5.00,0.40,90.00,95.40,4.00%,23.00,3.00,28.00,54.00,9.67%,,5%,42.03%,6
X Z 1/38,Popular,Popular B, 308.82 ,Línea 1,12/14/2020,Turno 2,Selenio,Carlos,07:00 a. m.,10.00%,3.00,0.00,11.00,14.00,3.33%,3.00,0.60,11.00,14.60,3.00%,151.00,0.40,30.00,181.40,9.67%,,4%,61.19%,6
X Z 1/41,Love 12,SPop B," 1,546.52 ",Línea 2,12/14/2020,Turno 2,Selenio,Jose C.,03:00 p. m.,10.00%,3.00,0.40,12.00,15.40,4.43%,5.00,0.40,16.00,21.40,5.66%,19.00,2.40,47.00,68.40,13.87%,,6%,43.19%,3.648328739
X Z 1/41,Love 12,SPop B," 1,546.52 ",Línea 2,12/14/2020,Turno 2,Selenio,Jose C.,05:00 p. m.,13.00%,8.00,0.00,7.00,15.00,3.33%,9.00,0.20,12.00,21.20,4.67%,15.00,3.00,55.00,73.00,18.00%,,5%,60.52%,3.648328739
X Z 1/41,Love 12,SPop B," 1,546.52 ",Línea 2,12/14/2020,Turno 2,Selenio,Jose C.,07:00 p. m.,9.00%,8.00,0.00,10.80,18.80,4.00%,5.00,0.00,10.00,15.00,3.67%,22.00,1.00,50.00,73.00,16.67%,,5%,42.39%,3.648328739
X Z 1/41,Love 12,SPop B," 1,546.52 ",Línea 2,12/14/2020,Turno 2,Selenio,Jose C.,09:00 p. m.,13.00%,6.00,0.00,8.00,14.00,3.00%,7.00,0.20,10.00,17.20,4.33%,23.00,4.00,60.40,87.40,25.00%,,6%,57.44%,3.648328739
X Z 1/40,Super,Lift ," 2,093.53 ",Línea 1,12/15/2020,Turno 1,Angel,Jose Alberto,09:00 a. m.,13.10%,5.00,0.00,9.40,14.40,9.70%,4.00,0.20,14.00,18.20,6.90%,18.00,3.00,46.40,67.40,21.20%,,10%,22.52%,3.30182976
X Z 1/40,Super,Lift ," 2,093.53 ",Línea 1,12/15/2020,Turno 1,Angel,Jose Alberto,11:00 a. m.,9.60%,14.00,1.20,9.00,24.20,4.00%,11.00,0.40,27.00,38.40,8.30%,31.00,3.20,139.20,173.40,87.40%,,13%,-39.74%,3.30182976
X Z 1/40,Super,Lift ," 2,093.53 ",Línea 1,12/15/2020,Turno 2,Selenio,Carlos,03:00 p. m.,15.00%,17.00,0.40,10.00,27.40,4.67%,18.00,0.20,11.00,29.20,4.67%,39.00,1.40,28.00,68.40,15.33%,,6%,61.76%,3.30182976
X Z 1/40,Super,Lift ," 2,093.53 ",Línea 1,12/15/2020,Turno 2,Selenio,Carlos,05:00 p. m.,9.00%,15.00,0.00,6.40,21.40,3.00%,14.00,0.20,9.00,23.20,4.33%,42.00,2.80,40.00,84.80,14.67%,,4%,50.01%,3.30182976
X Z 1/40,Super,Lift ," 2,093.53 ",Línea 1,12/15/2020,Turno 2,Selenio,Carlos,08:00 p. m.,14.00%,14.00,1.80,8.00,23.80,4.33%,16.00,0.20,10.00,26.20,4.67%,23.00,0.80,26.00,49.80,11.33%,,5%,63.46%,3.30182976
X Z 1/40,Super,Lift ," 2,093.53 ",Línea 1,12/15/2020,Turno 2,Selenio,Carlos,10:00 p. m.,10.00%,11.00,0.00,10.00,21.00,3.00%,12.00,0.00,10.00,22.00,3.67%,15.00,0.00,12.00,27.00,5.33%,,3%,66.00%,3.30182976
X Z 1/41,Love 12,SPop B," 1,546.52 ",Línea 2,12/15/2020,Turno 1,Angel,Jose Reyes,07:00 a. m.,18.10%,6.00,0.00,13.60,19.60,6.90%,8.00,0.40,10.80,19.20,5.80%,8.00,0.20,38.80,47.00,16.50%,,8%,58.09%,3.648328739
X Z 1/43,SPop,SPop B," 1,985.01 ",Línea 2,12/15/2020,Turno 2,Selenio,Jose C.,03:00 p. m.,13.00%,6.00,2.00,12.00,20.00,4.00%,7.00,0.20,8.60,15.80,3.33%,22.00,0.00,26.00,48.00,10.00%,,4%,65.90%,6.277657326
X Z 1/43,SPop,SPop B," 1,985.01 ",Línea 2,12/15/2020,Turno 2,Selenio,Jose C.,05:00 p. m.,12.00%,16.00,1.40,18.00,35.40,6.67%,7.00,0.00,10.60,17.60,3.33%,48.00,2.80,50.00,100.80,16.00%,,7%,43.60%,6.277657326
X Z 1/43,SPop,SPop B," 1,985.01 ",Línea 2,12/15/2020,Turno 2,Selenio,Jose C.,09:00 p. m.,12.00%,14.00,0.00,19.20,33.20,6.00%,8.00,0.00,12.00,20.00,4.00%,18.00,1.00,28.00,47.00,9.33%,,6%,51.39%,6.277657326
